Offer_Price,Total_Shares,QIB,HNI,RII,Issue_Size,Ipo_Success,,
1217.04,2660903,1550535,627958,482410,3238425387,1,,
834.09,2370215,779439,264614,1326162,1976972629,1,,
779.28,3779022,1313736,745544,1719742,2944916264,1,,
536.81,328241,135480,83740,109021,176203051.2,1,,
676.55,3309064,1946899,921051,441114,2238747249,1,,
1367.04,4409126,2167826,530441,1710859,6027451607,1,,
975.22,403202,156748,41390,205064,393210654.4,1,,
808.71,4877221,2391456,1043876,1441889,3944257395,1,,
1088.67,1084641,526100,301082,257459,1180816117,0,,
679.7,1390303,672799,252262,465242,944988949.1,1,,
599.51,4433726,2434591,712188,1286947,2658063074,1,,
340.72,2405766,1034497,515115,856154,819692591.5,1,,
1454.31,2597882,1171254,703905,722723,3778125771,1,,
296.97,1877788,1096750,458555,322483,557646702.4,1,,
100.02,3503438,1922589,581231,999618,350413868.8,1,,
182.66,4021086,1659870,634058,1727158,734491568.8,1,,
923.57,3478431,1627632,443825,1406974,3212574519,1,,
916.53,2556346,1292282,281065,982999,2342967799,0,,
1413.22,4432018,1438233,928927,2064858,6263416478,1,,
885.64,659180,272030,185093,202057,583796175.2,0,,
1252.66,3735377,2161059,519897,1054421,4679157353,0,,
1275.57,3251613,1082014,614591,1555008,4147659994,1,,
360.91,4048094,1623498,898661,1525935,1460997606,1,,
1185.74,4931262,2098953,827971,2004338,5847194604,1,,
71.34,4894398,2581909,858548,1453941,349166353.3,1,,
68.89,238257,77975,68735,91547,16413524.73,1,,
856.46,978335,381553,274228,322554,837904794.1,1,,
1469.99,4291731,1765215,636922,1889594,6308801653,1,,
947.32,4660089,2347525,732429,1580135,4414595511,1,,
265.96,681932,324463,184798,172671,181366634.7,1,,
1151.17,4960106,1683099,666103,2610904,5709925224,1,,
514.81,2025118,1021301,546351,457466,1042550998,0,,
1445.4,2249178,1184419,577026,487733,3250961881,1,,
198.85,4385668,2004293,686794,1694581,872090081.8,1,,
583.81,4926898,1700264,535103,2691531,2876372321,0,,
1058.93,3416504,1501669,496647,1418188,3617838581,1,,
593.7,4254117,1987157,1251965,1014995,2525669263,1,,
548.96,700028,260981,204958,234089,384287370.9,1,,
272.09,2255950,980066,467391,808493,613821435.5,1,,
932.88,1653438,694975,233760,724703,1542459241,1,,
1415.29,2819778,1686676,362830,770272,3990803606,0,,
316.54,1855767,934662,536995,384110,587424486.2,1,,
937.21,1792945,1005191,198625,589129,1680365983,0,,
1472.37,4621088,2743885,844082,1033121,6803951339,0,,
1312.3,1843176,759482,342831,740863,2418799865,1,,
975.93,4550950,1760445,619129,2171376,4441408634,1,,
539.87,4229590,2354920,439660,1435010,2283428753,1,,
267.5,1081506,435746,265278,380482,289302855,1,,
1214.58,4935616,2866143,964179,1105294,5994700481,1,,
727.25,4700665,2488009,521605,1691051,3418558621,1,,
617.24,2149209,1215223,565968,368018,1326577763,1,,
1254.44,4120636,1669048,1117415,1334173,5169090624,1,,
383.02,1217268,366429,318893,531946,466237989.4,0,,
145.88,537826,303888,79118,154820,78458056.88,1,,
1058.74,1114362,667883,204027,242452,1179819624,0,,
81.85,1567423,786644,440237,340542,128293572.6,1,,
935.86,1281469,571629,314011,395829,1199275578,1,,
1337.67,649124,386227,157437,105460,868313701.1,1,,
513.81,535996,230354,60134,245508,275400104.8,1,,
851.15,2350414,1362716,564991,422707,2000554876,1,,
1447.28,4331496,2238482,1065876,1027138,6268887531,1,,
1477.37,489320,226092,86393,176835,722906688.4,1,,
1176.9,4170475,2078510,1033756,1058209,4908232028,1,,
528.47,4624524,2096563,559031,1968930,2443922198,1,,
553.16,3524693,1438663,409414,1676616,1949719180,1,,
1084.02,2507610,959964,502315,1045331,2718299392,1,,
768.92,548997,167779,159152,222066,422134773.2,1,,
641.71,3352229,1750712,797062,804455,2151158872,1,,
1086.08,4433538,2360261,1077313,995964,4815176951,0,,
407.8,326856,193796,49285,83775,133291876.8,1,,
554.2,3725585,1311402,865880,1548303,2064719207,1,,
1308.58,2945553,1560611,589065,795877,3854491745,1,,
868.15,3440876,1081656,596738,1762482,2987196499,1,,
595.35,1422107,830487,215671,375949,846651402.5,1,,
1382.91,4602972,2284801,1212697,1105474,6365496009,1,,
455.71,4225999,1771359,572608,1882032,1925830004,0,,
724.57,2146601,1247591,338414,560596,1555362687,0,,
359.83,3751871,1915137,1012714,824020,1350035742,1,,
644.4,4035207,1652288,1149277,1233642,2600287391,0,,
928.29,4642001,1830559,705155,2106287,4309123108,1,,
526.97,2480164,1419318,267180,793666,1306972023,1,,
396.26,4115795,2045206,893545,1177044,1630924927,1,,
389.54,1930193,879417,333431,717345,751887381.2,1,,
1498.12,2356137,1243675,660888,451574,3529775962,0,,
1154.16,680866,205422,94708,380736,785828302.6,1,,
1245.61,4157161,1398719,1013775,1744667,5178201313,1,,
644.31,1298035,471808,356210,470017,836336930.8,1,,
75.11,281508,137803,44825,98880,21144065.88,1,,
315.26,836275,264686,188818,382771,263644056.5,1,,
1185.24,145782,83813,15738,46231,172786657.7,1,,
828.89,4729789,2031308,1103904,1594577,3920474804,0,,
364.74,4787952,2751679,573059,1463214,1746357612,1,,
712.12,1808230,718809,224951,864470,1287676748,1,,
1103.77,4365265,1628673,1299761,1436831,4818248549,1,,
407.16,4207824,1339048,869005,1999771,1713257620,1,,
480.87,1343519,561612,307941,473966,646057981.5,1,,
508.06,1875054,772299,309696,793059,952639935.2,0,,
1007.24,2401278,993049,608388,799841,2418663253,0,,
350.6,1982107,752172,374234,855701,694926714.2,1,,
355.8,3141369,1434816,628419,1078134,1117699090,1,,
99.03,1781314,638379,488597,654338,176403525.4,1,,
139.69,1360693,722003,349770,288920,190075205.2,1,,
1073.47,820767,454466,196002,170299,881068751.5,1,,
1155.34,110968,64208,27436,19324,128205769.1,1,,
1326.65,3689070,2007084,460130,1221856,4894104716,1,,
365.6,1459179,788185,220153,450841,533475842.4,1,,
864.61,100111,55375,24058,20678,86556971.71,1,,
65.2,3970073,1943415,865811,1160847,258848759.6,1,,
703.9,3254401,1269123,601983,1383295,2290772864,1,,
1376.24,2209582,1023749,246351,939482,3040915132,0,,
1309.85,2581878,1338829,658421,584628,3381872898,0,,
893.15,3103612,1517858,640682,945072,2771991058,0,,
769.13,3836556,2046987,575827,1213742,2950810316,1,,
1470.33,349533,169781,73157,106595,513928855.9,1,,
76.2,2464221,1309194,336089,818938,187773640.2,1,,
447.21,2203965,829977,371796,1002192,985635187.7,1,,
500.89,3615480,1912188,521519,1181773,1810957777,1,,
704.43,2929661,1077900,673186,1178575,2063741098,1,,
993.05,1824171,795814,383197,645160,1811493012,1,,
565.65,2493442,752915,277119,1463408,1410415467,1,,
137.15,4757921,2454448,1085258,1218215,652548865.2,1,,
711.37,3714225,2203738,754181,756306,2642188238,1,,
257.74,2068350,1225274,284211,558865,533096529,1,,
1219.7,1064574,527982,258169,278423,1298460908,1,,
630.99,3486330,1331359,663813,1491158,2199839367,0,,
774.94,3678555,1547611,1036266,1094678,2850659412,0,,
893.81,4918750,1603952,1327783,1987015,4396427938,1,,
1328.45,1012246,472063,255101,285082,1344718199,1,,
1483.34,1737960,800468,322889,614603,2577985586,1,,
1387.27,1738397,598597,290673,849127,2411626006,1,,
839.12,4055854,1610036,592436,1853382,3403348208,1,,
1259.47,3379541,1648765,703628,1027148,4256430503,1,,
1243.32,2300009,1131344,514450,654215,2859647190,1,,
977.55,1637198,769574,282628,584996,1600442905,1,,
430.26,2837768,1576267,556306,705195,1220978060,1,,
1224.31,4553381,1937651,652639,1963091,5574749892,1,,
1431.01,2228650,740910,314212,1173528,3189220437,1,,
767.85,4876727,2156288,648893,2071546,3744594827,1,,
222.2,3097213,1372505,543619,1181089,688200728.6,1,,
1309.51,3326847,1390283,403701,1532863,4356539415,1,,
563.2,1858864,796997,279327,782540,1046912205,1,,
556.29,1436158,522661,353114,560383,798920333.8,1,,
1363.5,3301225,1192890,812251,1296084,4501220288,0,,
1449.32,3019756,907189,452730,1659837,4376592766,1,,
718.31,1605681,658551,304493,642637,1153376719,1,,
487.41,4149364,1732153,1232297,1184914,2022441507,1,,
627.84,2262467,985405,575847,701215,1420467281,1,,
437.48,2223366,1306410,569979,346977,972678157.7,1,,
337.17,4079727,2088970,666654,1324103,1375561553,1,,
1423.82,3037882,1299122,758129,980631,4325397149,1,,
866.66,204074,62922,23243,117909,176862772.8,1,,
714.21,443813,157158,69546,217109,316975682.7,1,,
683.53,2068695,902745,312679,853271,1414015093,1,,
950.31,947201,437989,143745,365467,900134582.3,1,,
1194.71,4452714,1693582,611231,2147901,5319701943,1,,
168.63,2752964,1108707,724886,919371,464232319.3,0,,
964.8,773325,314624,195422,263279,746103960,1,,
222.94,2799333,1508530,776861,513942,624083299,0,,
379.37,151759,84875,42338,24546,57572811.83,1,,
490.27,1836781,621952,333520,881309,900518620.9,1,,
1299.98,1114347,401767,171383,541197,1448628813,1,,
1318.57,1023389,572923,104451,346015,1349410034,1,,
1402.94,725075,263640,201408,260027,1017236721,1,,
623.1,2092270,807722,406968,877580,1303693437,1,,
299.92,4130258,2100130,625526,1404602,1238746979,1,,
1478.1,2832086,1448340,528999,854747,4186106317,1,,
61.05,4738977,1981278,1006156,1751543,289314545.8,1,,
972.48,1025085,480897,141429,402759,996874660.8,1,,
651.72,1476056,654589,350537,470930,961975216.3,1,,
759.03,1585825,506618,457511,621696,1203688750,1,,
886.35,4550185,2426466,1293817,829902,4033056475,1,,
888.36,4676358,1793695,998834,1883829,4154289393,0,,
594.76,947779,552669,132804,262306,563701038,1,,
598.97,1502285,740685,437449,324151,899823646.5,1,,
478.76,2041473,1214894,489194,337385,977375613.5,0,,
926.32,4037611,2105988,983738,947885,3740119822,1,,
273.25,4417487,2502419,1214590,700478,1207078323,1,,
1022.12,4999176,1730163,739389,2529624,5109757773,0,,
1493.63,4893547,1852177,534539,2506831,7309148606,0,,
336.92,1206015,422037,139332,644646,406330573.8,1,,
1435.35,3911524,1910261,399104,1602159,5614405973,1,,
675.7,4260716,1894238,676266,1690212,2878965801,1,,
618.48,435489,231772,68043,135674,269341236.7,1,,
1161.75,1823011,772115,390605,660291,2117883029,1,,
663.73,3214582,1340569,812265,1061748,2133614511,1,,
439.25,2800841,1653965,349943,796933,1230269409,1,,
477.88,3053571,1127688,600234,1325649,1459240509,1,,
143.59,769857,299132,206975,263750,110543766.6,1,,
904.7,1480570,857311,418659,204600,1339471679,1,,
712.45,1450439,598085,419801,432553,1033365266,1,,
503.44,2781808,1149056,398335,1234417,1400473420,1,,
657.39,2956364,937322,661323,1357719,1943484130,1,,
1391.62,474270,160879,97922,215469,660003617.4,1,,
1323.09,3131945,942318,759966,1429661,4143845110,0,,
264.32,3260950,1680502,589742,990706,861934304,1,,
891.61,3100657,1014645,883178,1202834,2764576788,1,,
1245.41,4493206,1491964,931230,2070012,5595883684,1,,
240.87,3274335,1659724,408077,1206534,788689071.5,1,,
1191.99,850489,409136,152690,288663,1013774383,0,,
73.94,4807587,2409146,1187972,1210469,355472982.8,1,,
416.81,1257346,505456,282624,469266,524074386.3,0,,
1119.52,4873081,2470014,939162,1463905,5455511641,1,,
1077.07,1183756,356627,285345,541784,1274988075,1,,
65.09,4017609,2354297,1166524,496788,261506169.8,1,,
262.62,2282864,1166339,285460,831065,599525743.7,1,,
1364.21,2915808,1370521,742235,803052,3977774432,1,,
425.45,1813324,706098,349721,757505,771478695.8,1,,
968.25,3369216,1175121,815487,1378608,3262243392,0,,
119.38,3990519,1530187,423979,2036353,476388158.2,1,,
1344.9,4034540,1529351,1166968,1338221,5426052846,1,,
1107.24,3075035,1700675,828847,545513,3404801753,1,,
218.79,2549502,767931,326131,1455440,557805542.6,1,,
808.97,4615275,2381197,1083562,1150516,3733619017,1,,
1194.21,336884,198471,47289,91124,402310241.6,0,,
855.36,934298,373039,253801,307458,799161137.3,1,,
686.18,1866508,847020,477121,542367,1280760459,1,,
1359.32,4071987,1834998,482755,1754234,5535133369,1,,
1364.09,651023,255302,70586,325135,888053964.1,0,,
1464.47,2331088,1295926,459099,576063,3413808443,1,,
1001.64,158261,86131,45652,26478,158520548,1,,
837.57,1925989,729377,201878,994734,1613150607,1,,
124.61,2977227,1455638,823652,697937,370992256.5,1,,
1325.62,4992837,2727743,1130281,1134813,6618604584,1,,
376.98,2407210,774592,717086,915532,907470025.8,1,,
1013.68,2812327,863633,427243,1521451,2850799633,1,,
1142.16,2090617,719513,535752,835352,2387819113,1,,
882.9,744583,360049,205814,178720,657392330.7,1,,
211.32,1811880,592818,200864,1018198,382886481.6,1,,
1122.69,2485230,920403,401159,1163668,2790142869,1,,
1494.27,2549213,981489,644247,923477,3809212510,1,,
676.28,4614717,2517117,905170,1192430,3120840813,0,,
1475.4,1805215,685787,235358,884070,2663414211,1,,
1474.86,4857925,2062669,604717,2190539,7164759265,1,,
80.05,697804,217519,177639,302646,55859210.2,1,,
148.54,1707572,1016780,453861,236931,253642744.9,1,,
476.9,4315171,1563445,810726,1941000,2057905050,1,,
756.83,2871399,1548129,448705,874565,2173160905,1,,
593.7,698438,367536,201301,129601,414662640.6,1,,
937.44,2526052,1243364,683460,599228,2368022187,1,,
458.47,3850359,1339508,1030620,1480231,1765274091,0,,
930.86,3442545,1911899,441989,1088657,3204527439,0,,
785.2,1608854,797439,318548,492867,1263272161,1,,
1061.82,1690113,910623,252408,527082,1794595786,1,,
820.04,2297410,1013480,499495,784435,1883968096,1,,
671.26,4585965,1909455,622773,2053737,3078374866,1,,
826.35,2541337,1010865,322873,1207599,2100033830,1,,
711.49,1074215,416875,290901,366439,764293230.4,1,,
89.91,955436,304449,113565,537422,85903250.76,1,,
398.53,1998395,748075,277194,973126,796420359.3,1,,
840.26,4605305,1671983,1232698,1700624,3869653579,1,,
1334.04,2843659,1431703,356103,1055853,3793554852,1,,
925.98,4361749,2117904,1038271,1205574,4038892339,0,,
590.73,2560146,1008944,257770,1293432,1512355047,1,,
1099.14,1892188,769845,210515,911828,2079779518,1,,
685.43,3022678,1198986,352525,1471167,2071834182,1,,
891.49,1200554,568393,329697,302464,1070281885,0,,
1278.01,1373421,607011,196487,569923,1755245772,1,,
262.17,2310637,732015,607017,971605,605779702.3,1,,
1294.94,1011686,347882,250329,413475,1310072669,1,,
1036.57,2645967,1081743,447441,1116783,2742730013,1,,
771.34,4797472,1693052,520972,2583448,3700482052,1,,
1498.12,1315585,787971,137326,390288,1970904200,1,,
390.57,1200567,426055,256340,518172,468905453.2,0,,
372.52,2304467,1043292,568650,692525,858460046.8,1,,
859.76,4752843,2536112,1066693,1150038,4086304298,1,,
164.13,347997,207689,55037,85271,57116747.61,0,,
970.61,2206161,950321,278016,977824,2141321928,0,,
1354.64,3645610,1723899,436231,1485480,4938489130,0,,
674.97,4237935,2474826,1188027,575082,2860478987,0,,
1459.94,155337,67277,36136,51924,226782699.8,0,,
569.91,3495587,1956314,735874,803399,1992169987,1,,
1492.03,546972,315831,116223,114918,816098633.2,1,,
1443.59,2242327,1242590,326766,672971,3237000834,1,,
879.42,112298,35778,13474,63046,98757107.16,1,,
452.82,2318252,766800,645233,906219,1049750871,1,,
1287.33,1756657,891019,324418,541220,2261397256,1,,
646.15,1676891,734970,389494,552427,1083523120,1,,
1378.13,3394613,1659161,524489,1210963,4678218014,1,,
1388.39,1705223,754695,460853,489675,2367514561,1,,
797.98,2506039,1451663,543020,511356,1999769001,1,,
429.98,2994571,1021327,865323,1107921,1287605639,1,,
473.77,3634110,1977873,550110,1106127,1721732295,1,,
181.75,2792873,1026419,471058,1295396,507604667.8,1,,
1365.8,2505720,903481,623227,979012,3422312376,1,,
789.18,3480871,1196355,635427,1649089,2747033776,0,,
1066.73,1739236,642952,236203,860081,1855295218,0,,
165.67,3984270,2374805,870566,738899,660074010.9,1,,
1033.83,2962480,986329,573343,1402808,3062700698,0,,
1143.83,3334057,1658257,971598,704202,3813594418,1,,
1444.35,1226988,713948,320936,192104,1772200118,1,,
1364.92,143677,48105,27808,67764,196107610.8,1,,
463.37,2183376,1051646,382008,749722,1011710937,1,,
1264.25,3585604,1138558,412233,2034813,4533099857,1,,
1465.89,1001697,506700,209857,285140,1468377615,1,,
358.65,4856767,2459197,587102,1810468,1741879485,1,,
1375.32,4712273,2298721,1194130,1219422,6480883302,1,,
1140.01,2807577,1325142,698937,783498,3200665856,1,,
840.05,1898902,856400,243084,799418,1595172625,1,,
1492.55,2883099,1658808,592142,632149,4303169412,1,,
1270.01,4107459,1601980,943395,1562084,5216514005,1,,
428.84,1996795,667507,518794,810494,856305567.8,1,,
129.64,1849282,988087,319848,541347,239740918.5,1,,
676.28,2305264,1275227,501711,528326,1559003938,1,,
831.48,647115,282489,99100,265526,538063180.2,1,,
866.58,4351915,1886794,530653,1934468,3771282501,1,,
1272.41,1246235,721956,217203,307076,1585721876,1,,
645.71,762739,353271,164696,244772,492508199.7,1,,
1244.19,1452202,810952,347005,294245,1806815206,1,,
128.81,780205,449816,186318,144071,100498206.1,0,,
766.26,2913166,1234717,588388,1090061,2232242579,1,,
409.86,1994093,1056701,362836,574556,817298957,1,,
741.43,1129581,567172,337644,224765,837505240.8,1,,
119.07,3077076,1310844,505384,1260848,366387439.3,0,,
